code,sido,gu,dong,lat,lng
1117057000,서울특별시,용산구,원효로제2동,37.532612,126.990182
1117058000,서울특별시,용산구,효창동,37.542828,126.960951
1117059000,서울특별시,용산구,용문동,37.537663,126.959677
1117062500,서울특별시,용산구,한강로동,37.529054,126.969503
1117063000,서울특별시,용산구,이촌제1동,37.532612,126.990182
1117064000,서울특별시,용산구,이촌제2동,37.532612,126.990182
1117065000,서울특별시,용산구,이태원제1동,37.532612,126.990182
1117066000,서울특별시,용산구,이태원제2동,37.532612,126.990182
1117068500,서울특별시,용산구,한남동,37.537541,127.005165
1117069000,서울특별시,용산구,서빙고동,37.518619,126.991299
1117070000,서울특별시,용산구,보광동,37.526873,127.000917
1120052000,서울특별시,성동구,왕십리제2동,37.563386,127.037047
1120053500,서울특별시,성동구,왕십리도선동,37.565980,127.031444
1120054000,서울특별시,성동구,마장동,37.567363,127.040731
1120055000,서울특별시,성동구,사근동,37.558904,127.047597
1120056000,서울특별시,성동구,행당제1동,37.563386,127.037047
1120057000,서울특별시,성동구,행당제2동,37.563386,127.037047
1120058000,서울특별시,성동구,응봉동,37.550935,127.033903
1120059000,서울특별시,성동구,금호1가동,37.553509,127.023661
1120061500,서울특별시,성동구,금호2.3가동,37.549549,127.019842
1120062000,서울특별시,성동구,금호4가동,37.545404,127.024129
1120064500,서울특별시,성동구,옥수동,37.540788,127.020624
1120065000,서울특별시,성동구,성수1가제1동,37.543511,127.042746
1120066000,서울특별시,성동구,성수1가제2동,37.543511,127.042746
1120067000,서울특별시,성동구,성수2가제1동,37.540855,127.056517
1120069000,서울특별시,성동구,성수2가제3동,37.540855,127.056517
1120072000,서울특별시,성동구,송정동,37.553181,127.062066
1120079000,서울특별시,성동구,용답동,37.561470,127.056348
1121571000,서울특별시,광진구,화양동,37.543250,127.073393
1121573000,서울특별시,광진구,군자동,37.553038,127.073657
1121574000,서울특별시,광진구,중곡제1동,37.538210,127.082191
1121575000,서울특별시,광진구,중곡제2동,37.538210,127.082191
1121576000,서울특별시,광진구,중곡제3동,37.538210,127.082191
1121577000,서울특별시,광진구,중곡제4동,37.538210,127.082191
1121578000,서울특별시,광진구,능동,37.550578,127.081722
1121581000,서울특별시,광진구,광장동,37.547835,127.104695
1121582000,서울특별시,광진구,자양제1동,37.538210,127.082191
1121583000,서울특별시,광진구,자양제2동,37.538210,127.082191
1121584000,서울특별시,광진구,자양제3동,37.538210,127.082191
1121584700,서울특별시,광진구,자양제4동,37.538210,127.082191
1121585000,서울특별시,광진구,구의제1동,37.538210,127.082191
1121586000,서울특별시,광진구,구의제2동,37.538210,127.082191
1121587000,서울특별시,광진구,구의제3동,37.538210,127.082191
1123053600,서울특별시,동대문구,용신동,37.575868,127.037305
1123054500,서울특별시,동대문구,제기동,37.583778,127.037226
1123056000,서울특별시,동대문구,전농제1동,37.574428,127.039712
1123057000,서울특별시,동대문구,전농제2동,37.574428,127.039712
1123060000,서울특별시,동대문구,답십리제1동,37.570970,127.056703
1123061000,서울특별시,동대문구,답십리제2동,37.570970,127.056703
1123065000,서울특별시,동대문구,장안제1동,37.574428,127.039712
1123066000,서울특별시,동대문구,장안제2동,37.574428,127.039712
1123070500,서울특별시,동대문구,청량리동,37.588799,127.045280
1123071000,서울특별시,동대문구,회기동,37.593733,127.051434
1123072000,서울특별시,동대문구,휘경제1동,37.574428,127.039712
1123073000,서울특별시,동대문구,휘경제2동,37.574428,127.039712
1123074000,서울특별시,동대문구,이문제1동,37.574428,127.039712
1123075000,서울특별시,동대문구,이문제2동,37.574428,127.039712
1126052000,서울특별시,중랑구,면목제2동,37.606736,127.092924
1126054000,서울특별시,중랑구,면목제4동,37.606736,127.092924
1126055000,서울특별시,중랑구,면목제5동,37.606736,127.092924
1126056500,서울특별시,중랑구,면목본동,37.587331,127.087419
